movieCd,movieNm,movieNmEn,openDt,repGenreNm,repNationNm,directors
20182911,색몽 H컵의 유혹,,20181022,기타,일본,아사기리 키요시
20185042,착한언니 : AV 도우미,Shinjuku Female Black Swan,20180516,,일본,야마우치 다이스케
20183981,섹남섹녀,,20180426,,한국,최석원
20183824,신입 여직원 길들이기,,20181120,,일본,아사기리 키요시
20183681,형님 아내4(우주공주 춘향),,20180425,,한국,이돌
20183257,폭풍우 : 죽을 때 까지 하고 싶어,YUUKO SHIRAKI NIGHT WITH A YOUNG LADY WITH A STORM RELATIVE AND TWO PEOPLE,20181107,,일본,마메자와 마메타로
20183256,엄마 친구 : 매일밤 찾아와 해주는 그녀,,20181031,,일본,카와이 조지
20181782,내딸 : 아찔한 동거,,20180308,,한국,최석원
20180384,은밀한쇼-달의장,KINBAKU 月の章,20180824,,일본,토모마츠 나오유키
20180701,내 여자가 된 형수,,20180201,기타,한국,최석원
20189426,발칙한 동거 무삭제,,20180301,,한국,오재학
20189425,발칙한 동거,,20180115,,한국,오재학
20189424,쾌락 도우미 무삭제,,20180118,,한국,김재승
20180044,사촌여동생 무삭제판,,20180117,,한국,양호열
20182761,제주도 야한밤 무삭제,,20180607,,한국,박은석
20182742,제주도 야한밤,,20180329,,한국,박은석
20183388,형수의 직업_무삭제판,,20180420,,한국,노현진
20182985,섹스 인 더 게임 ,,20180328,,한국,신성진
20181063,섹스 인 더 게임 무삭제판,,20180907,,한국,신성진
20186070,거유 새댁의 불륜,,20180711,,일본,치바 다이스케
20183258,애송이 섹스 : 누나가 다 가르쳐 줄게,MOM'S FRIEND MAKOODA,20181205,,일본,카와이 조지
20183259,섹스 시그널 : 옆집 총각과 일본 새댁,HOUSE WIFE'S YELLOW HANDKERCHIEF WAKANA NAO,20181212,,일본,마메자와 마메타로
20189361,아내들의 속사정,,20180111,,한국,최석원
20183095,아내와 제자들: 네토라레,,20180331,,한국,노현진
20183389,내 아내의 초대남들: 네토라레_무삭제판,,20180420,,한국,노현진
20188861,불륜에 맛들린 순진한 아내,,20180809,,일본,아라시야마 미치루
20180602,몸으로 접대한 아내,,20180906,,일본,아카바 키쿠지로
20185128,아내의 욕정을 풀어준 편집장,,20181221,,일본,치바 다이스케
20184022,처제의 속사정2,,20180503,,한국,최석원
20184240,내 학생의 엄마 3 무삭제,,20181122,멜로/로맨스,한국,유해종
20186803,내 학생의 엄마 3,,20180907,멜로/로맨스,한국,유해종
20175129,내 학생의 엄마 2 무삭제,,20180223,멜로/로맨스,한국,곽영근
20187397,옥보단2 무삭제판,Sex and Zen 2,20180724,멜로/로맨스,중국,전문기
20182338,룸싸롱 여대생들 무삭제,,20181016,멜로/로맨스,한국,조태호
20181401,룸싸롱 여대생들,,20180329,멜로/로맨스,한국,조태호
20180783,착한 형수 3 무삭제,,20181107,멜로/로맨스,한국,이리단
20180782,착한 형수 3,,20180607,멜로/로맨스,한국,이리단
20172963,착한 형수 2 무삭제,,20180123,멜로/로맨스,한국,곽영근
20181982,여자 하숙집2 무삭제,,20181114,멜로/로맨스,한국,이리단
20181981,여자 하숙집2,,20180322,멜로/로맨스,한국,이리단
20182383,성판17: 남자들의 17가지 성적 판타지 무삭제판 ,,20180312,기타,한국,송은주
20176970,어린 형수 3 - 무삭제판 ,,20180124,멜로/로맨스,한국,최우성
20189724,친구누나2 무삭제,,20180810,멜로/로맨스,한국,이리단
20189723,친구누나2,,20180208,멜로/로맨스,한국,이리단
20177884,비뇨기과 여의사들 무삭제,,20180524,멜로/로맨스,한국,조태호
20177883,비뇨기과 여의사들,,20180222,멜로/로맨스,한국,조태호
20179345,불륜 동창회 무삭제,,20181016,멜로/로맨스,한국,조태호
20179344,불륜 동창회,,20180302,멜로/로맨스,한국,조태호
20182339,정사 : 친구의 엄마 2 무삭제,,20180730,멜로/로맨스,한국,김부곤
20179329,정사 : 친구의 엄마 무삭제,,20180116,멜로/로맨스,한국,곽영근
20182358,정사 : 친구의 엄마 2,,20180419,멜로/로맨스,한국,김부곤
20182381,아내의 엄마 무삭제,,20181108,멜로/로맨스,한국,임현태
20182359,아내의 엄마,,20180510,멜로/로맨스,한국,임현태
20183786,스와핑 : 친구의 아내 2 무삭제,,20181120,멜로/로맨스,한국,유해종
20187183,스와핑 : 친구의 아내 2,,20180719,멜로/로맨스,한국,유해종
20187659,엄마친구 5 무삭제판,,20181107,멜로/로맨스,한국,명석환
20187658,엄마친구 5,,20180824,멜로/로맨스,한국,명석환
20189266,착한 장모 (무삭제),,20180810,멜로/로맨스,한국,이진명
20185101,착한 장모,,20180709,멜로/로맨스,한국,이진명
20183637,두번째 엄마2-무삭제판,,20181120,멜로/로맨스,한국,이전
20182384,바람난 여자들2 무삭제,,20181106,멜로/로맨스,한국,조태호
20182382,바람난 여자들2,,20180424,멜로/로맨스,한국,조태호
20171372,일본 엄마 2 무삭제,,20180320,멜로/로맨스,한국,김무원
20181862,새오빠2 무삭제,,20181106,멜로/로맨스,한국,조태호
20181799,새오빠2,,20180405,멜로/로맨스,한국,조태호
20184104,부부교환섹스 3-무삭제판,,20180427,멜로/로맨스,한국,강정훈
20182662,부부교환섹스 3,,20180326,멜로/로맨스,한국,강정훈
20180041,부부교환섹스 2 (무삭제),,20180125,멜로/로맨스,한국,강정훈
20172868,내 아내의 언니 2 무삭제,,20180417,성인물(에로),한국,김부곤
20172883,내 아내의 언니 2,,20180111,성인물(에로),한국,김부곤
20183014,짱,Top Dog,20181228,액션,한국,송재덕
20180671,호밀밭의 반항아,Rebel in the Rye,20181018,드라마,미국,대니 스트롱
20179286,하이큐!! 콘셉트의 싸움,Haikyu!! The movie: The Battle of Concepts,20180111,애니메이션,일본,미츠나카 스스무
20186202,신과함께-인과 연,Along with the Gods: The Last 49 Days,20180801,판타지,한국,김용화
20188501,미친도시,Crazy City,20180830,드라마,한국,장태령
20172767,거룩한 분노,The Divine Order,20180628,드라마,스위스,페트라 볼프
20161724,스타박'스 다방,Bittersweet Brew,20180111,코미디,한국,이상우
20180523,스타 이즈 본,A Star Is Born,20181009,드라마,미국,브래들리 쿠퍼
20185046,서치,Searching,20180829,드라마,미국,아니쉬 차간티
20173745,콜럼버스,Columbus,20180419,드라마,미국,코고나다
20173202,버닝,BURNING,20180517,미스터리,한국,이창동
20178449,쓰리 빌보드,"Three Billboards Outside Ebbing, Missouri",20180315,코미디,미국,마틴 맥도나
20173436,셰이프 오브 워터: 사랑의 모양,The Shape of Water,20180222,어드벤처,미국,기예르모 델 토로
20174323,B급 며느리,Myeoneuri: My Son's Crazy Wife,20180117,다큐멘터리,한국,선호빈
20180555,엘 마르,Between Sea and Land,20181025,드라마,콜롬비아,마놀로 크루즈
20181942,맘마미아!2,Mamma Mia: Here We Go Again,20180808,뮤지컬,미국,올 파커
20184689,아일라,Ayla: The Daughter of War ,20180621,드라마,터키,칸 울카이
20173734,죄 많은 소녀,After My Death,20180913,드라마,한국,김의석
20171122,레디 플레이어 원,Ready Player One,20180328,액션,미국,스티븐 스필버그
20180522,앤트맨과 와스프,Ant-Man and the Wasp,20180704,액션,미국,페이튼 리드
20182221,스파키,Spark : A Space Tail,20180412,애니메이션,한국,아론 우들리
20183046,외도:남편 상사와의 하룻밤,Dannano jyousitohurin,20181017,성인물(에로),일본,나쿠루 하라다
20181823,보리 vs 매켄로,Borg/McEnroe,20180510,드라마,스웨덴,야누스 메츠
20180152,가정부 : 맛있는 서비스 무삭제,,20181114,성인물(에로),한국,정완경
20180115,가정부 : 맛있는 서비스,,20181002,성인물(에로),한국,정완경
20184587,룸싸롱 맛있는 서비스 무삭제,,20181113,성인물(에로),한국,조태호
20184586,룸싸롱 맛있는 서비스,,20180809,성인물(에로),한국,조태호
20180141,정사 : 질투의 덫 - 감독판,,20180207,성인물(에로),한국,이민
20182541,정사: 질투의 덫-무삭제판,,20180328,성인물(에로),한국,이민
20189522,완벽한 섹스의 맛-감독판,,20180110,성인물(에로),한국,이민
20184123,완벽한 섹스의 맛-무삭제판,,20180508,성인물(에로),한국,이민
20184424,맛있는 유혹 무삭제판,,20180515,성인물(에로),한국,이민
20182891,맛있는 유혹,,20180403,성인물(에로),한국,이민
20183172,야한 정사의 맛-감독판,,20180424,성인물(에로),한국,이민
20183636,야한 정사의 맛 - 무삭제판,,20181107,성인물(에로),한국,이민
20162875,탐정 당인: 차이나타운 살인사건,Detective Chinatown,20180308,액션,중국,진사성
20170841,리틀 포레스트,Little Forest,20180228,드라마,한국,임순례
20162361,환절기,In Between Seasons,20180222,드라마,한국,이동은
20175830,돌아와요 부산항애(愛),BROTHERS IN HEAVEN,20180117,범죄,한국,박희준
20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,Yo-Kai Watch 4,20180920,애니메이션,일본,우시로 신지
20184204,섹션제로3-블록13,Section Zero 3,20180803,SF,프랑스,올리비에르 마샬
20176104,그것만이 내 세상,Keys to the Heart,20180117,코미디,한국,최성현
20189067,미쓰백,Miss Baek,20181011,드라마,한국,이지원
20177341,영주,Youngju,20181122,드라마,한국,차성덕
20183306,아직 끝나지 않았다,Custody,20180621,드라마,프랑스,자비에 르그랑
20178228,다키스트 아워,Darkest Hour,20180117,드라마,영국,조 라이트
20158358,파란입이 달린 얼굴,A Blue Mouthed Face,20180118,드라마,한국,김수정
20180290,아쿠아맨,AQUAMAN,20181219,액션,미국,제임스 완
20172469,허스토리,Herstory,20180627,드라마,한국,민규동
20182752,검은비: 악의연대기,,20181026,액션,한국,장유근
20181807,극장판 프리! - 테이크 유어 마크 -,特別版 Free！ -Take Your Marks-,20180412,애니메이션,일본,카와나미 에이사쿠
20189331,리즈와 파랑새,Liz and the Blue Bird,20181009,애니메이션,일본,야마다 나오코
20181741,예스 평창!,Yes PyeongChang,20180308,다큐멘터리,한국,백철기
20182466,퀴어영화 뷰티풀,QUEER MOVIE Beautiful,20181006,멜로/로맨스,한국,백인규
20184541,2017 동명이인 프로젝트,two person at the same town,20180525,기타,한국,이경원
20173995,타클라마칸,Taklamakan,20180322,드라마,한국,고은기
20178342,치하야후루 상편,Chihayafuru Part 1,20180228,드라마,일본,코이즈미 노리히로
20178343,치하야후루 하편,Chihayafuru Part 2,20180228,드라마,일본,코이즈미 노리히로
